Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for bsd-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:32:22 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 8388608k(160368k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=5242880 -XX:MaxHeapSize=5242880 -XX:MaxMetaspaceSize=10485760 -XX:MetaspaceSize=5242880 -XX:+PrintCommandLineFlags -XX:+PrintFlagsFinal -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2021-09-18T00:49:16.706-0800: 0.338: [GC (Allocation Failure) [PSYoungGen: 1024K->488K(1536K)] 1024K->688K(5632K), 0.0106678 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2021-09-18T00:49:16.726-0800: 0.358: [GC (Allocation Failure) [PSYoungGen: 1481K->498K(1536K)] 1681K->1530K(5632K), 0.0022604 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-09-18T00:49:16.735-0800: 0.367: [GC (Allocation Failure) [PSYoungGen: 1522K->489K(1536K)] 2554K->2373K(5632K), 0.0030258 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-09-18T00:49:16.743-0800: 0.376: [GC (Allocation Failure) [PSYoungGen: 1513K->501K(1536K)] 3397K->3233K(5632K), 0.0025815 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-09-18T00:49:16.756-0800: 0.388: [GC (Allocation Failure) [PSYoungGen: 1525K->501K(1536K)] 4257K->4290K(5632K), 0.0034019 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-09-18T00:49:16.759-0800: 0.392: [Full GC (Ergonomics) [PSYoungGen: 501K->491K(1536K)] [ParOldGen: 3788K->3669K(4096K)] 4290K->4161K(5632K), [Metaspace: 2665K->2665K(1056768K)], 0.0513993 secs] [Times: user=0.06 sys=0.00, real=0.06 secs] 
2021-09-18T00:49:16.817-0800: 0.449: [Full GC (Ergonomics) [PSYoungGen: 1515K->1216K(1536K)] [ParOldGen: 3669K->3669K(4096K)] 5185K->4886K(5632K), [Metaspace: 2665K->2665K(1056768K)], 0.0415516 secs] [Times: user=0.05 sys=0.00, real=0.04 secs] 
2021-09-18T00:49:16.862-0800: 0.494: [Full GC (Ergonomics) [PSYoungGen: 1237K->1237K(1536K)] [ParOldGen: 3669K->3669K(4096K)] 4907K->4907K(5632K), [Metaspace: 2665K->2665K(1056768K)], 0.0291751 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2021-09-18T00:49:16.892-0800: 0.524: [Full GC (Ergonomics) [PSYoungGen: 1237K->1237K(1536K)] [ParOldGen: 3669K->3669K(4096K)] 4907K->4907K(5632K), [Metaspace: 2665K->2665K(1056768K)], 0.0270523 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2021-09-18T00:49:16.919-0800: 0.551: [Full GC (Ergonomics) [PSYoungGen: 1237K->1237K(1536K)] [ParOldGen: 3671K->3671K(4096K)] 4909K->4909K(5632K), [Metaspace: 2665K->2665K(1056768K)], 0.0213196 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2021-09-18T00:49:16.941-0800: 0.573: [Full GC (Ergonomics) [PSYoungGen: 1237K->1237K(1536K)] [ParOldGen: 3673K->3673K(4096K)] 4910K->4910K(5632K), [Metaspace: 2665K->2665K(1056768K)], 0.0280818 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2021-09-18T00:49:16.969-0800: 0.601: [Full GC (Ergonomics) [PSYoungGen: 1237K->1237K(1536K)] [ParOldGen: 3675K->3675K(4096K)] 4912K->4912K(5632K), [Metaspace: 2665K->2665K(1056768K)], 0.0258502 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2021-09-18T00:49:16.995-0800: 0.627: [Full GC (Ergonomics) [PSYoungGen: 1237K->1237K(1536K)] [ParOldGen: 3676K->3676K(4096K)] 4914K->4914K(5632K), [Metaspace: 2665K->2665K(1056768K)], 0.0236986 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2021-09-18T00:49:17.019-0800: 0.651: [Full GC (Ergonomics) [PSYoungGen: 1237K->1237K(1536K)] [ParOldGen: 3678K->3678K(4096K)] 4916K->4916K(5632K), [Metaspace: 2665K->2665K(1056768K)], 0.0374117 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2021-09-18T00:49:17.057-0800: 0.689: [Full GC (Ergonomics) [PSYoungGen: 1237K->1237K(1536K)] [ParOldGen: 3680K->3680K(4096K)] 4917K->4917K(5632K), [Metaspace: 2665K->2665K(1056768K)], 0.0237390 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
